Unofficial Name,Name,Parser Exception,NewPrec,RightPrec,Me,"Precedence Rank (WLD, corrected)","Precedence (UnicodeCharacters.tr, corrected)",Usage,Parse,Arity,Affix,Associativity,Usage String,FullForm,Meaningful,Comments
AngleBracket,AngleBracket,,-10,760,-10,1,-10,"{{Row[{""〈"", ""expr"", ""〉""}]}}","Row[{""AngleBracket"", ""["", ""expr"", "","", ""…"", ""]""}]",n-ary,Matchfix,Non,"〈expr,…〉","AngleBracket[expr, \[Ellipsis]]",False,
Association,Association,,-10,760,-10,1,-10,"{{Row[{""<|"", ""expr"",""|>""}], Row[{"""", ""expr"",""""}]}}","Row[{""Association"", ""["", ""expr"", "","", ""…"", ""]""}]",n-ary,Matchfix,Non,"<|expr,…|>","Association[expr, \[Ellipsis]]",True,
BracketingBar,BracketingBar,,-10,760,-10,1,-10,"{{Row[{"""", ""expr"", """"}]}}","Row[{""BracketingBar"", ""["", ""expr"", "","", ""…"", ""]""}]",n-ary,Matchfix,Non,"expr,…","BracketingBar[expr, \[Ellipsis]]",False,
Ceiling,Ceiling,,-10,760,-10,1,-10,"{{Row[{""⌈"", ""expr"", ""⌉""}]}}","Row[{""Ceiling"", ""["", ""expr"", ""]""}]",Unary,Matchfix,Non,⌈expr⌉,Ceiling[expr],True,
DoubleBracketingBar,DoubleBracketingBar,,-10,760,-10,1,-10,"{{Row[{"""", ""expr"", """"}]}}","Row[{""DoubleBracketingBar"", ""["", ""expr"", "","", ""…"", ""]""}]",n-ary,Matchfix,Non,"expr,…","DoubleBracketingBar[expr, \[Ellipsis]]",False,
Floor,Floor,,-10,760,-10,1,-10,"{{Row[{""⌊"", ""expr"", ""⌋""}]}}","Row[{""Floor"", ""["", ""expr"", ""]""}]",Unary,Matchfix,Non,⌊expr⌋,Floor[expr],True,
List,List,,-10,760,-10,1,-10,"{{Row[{""{"", ""expr"",""}""}]}}","Row[{""List"", ""["", ""expr"", "","", ""…"", ""]""}]",n-ary,Matchfix,Non,"{expr,…}","List[expr, \[Ellipsis]]",True,
AutoMatch,AutoMatch,,-10,760,-10,1,-10,"{{Row[{"""", ""expr"", """"}]}}","Row[{""AutoMatch"",""["",""expr"",""]""}]",Unary,Matchfix,Non,expr,AutoMatch[expr],True,
Skeleton,Skeleton,,-10,760,-10,1,-10,"{{Row[{"""", ""n"", """"}]}}","Row[{""Skeleton"",""["",""n"",""]""}]",Unary,Matchfix,Non,n,Skeleton[n],True,
CurlyDoubleQuote,CurlyDoubleQuote,,-10,760,-10,1,-10,"{{Row[{""“"", ""expr"", ""”""}]}}","Row[{""CurlyDoubleQuote"",""["",""expr"",""]""}]",Unary,Matchfix,Non,“expr”,CurlyDoubleQuote[expr],False,
CurlyQuote,CurlyQuote,,-10,760,-10,1,-10,"{{Row[{""‘"", ""expr"", ""’""}]}}","Row[{""CurlyQuote"",""["",""expr"",""]""}]",Unary,Matchfix,Non,‘expr’,CurlyQuote[expr],False,
FullwidthParenthesis,FullwidthParenthesis,,-10,760,-10,1,-10,"{{Row[{""（"", ""expr"", ""）""}]}}",,Unary,Matchfix,Non,（expr）,,True,
DoubleAngleBracket,DoubleAngleBracket,,-10,760,-10,1,-10,"{{Row[{""《"", ""expr"", ""》""}]}}",,Unary,Matchfix,Non,《expr》,,True,
FullwidthAngleBracket,FullwidthAngleBracket,,-10,760,-10,1,-10,"{{Row[{""〈"", ""expr"", ""〉""}]}}",,Unary,Matchfix,Non,〈expr〉,,True,
FullwidthSquareBracket,FullwidthSquareBracket,,-10,760,-10,1,-10,"{{Row[{""［"", ""expr"", ""］""}]}}",,Unary,Matchfix,Non,［expr］,,True,
TortoiseShellBracket,TortoiseShellBracket,,-10,760,-10,1,-10,"{{Row[{""〔"", ""expr"", ""〕""}]}}",,Unary,Matchfix,Non,〔expr〕,,True,
BlackLenticularBracket,BlackLenticularBracket,,-10,760,-10,1,-10,"{{Row[{""【"", ""expr"", ""】""}]}}",,Unary,Matchfix,Non,【expr】,,True,
WhiteCornerBracket,WhiteCornerBracket,,-10,760,-10,1,-10,"{{Row[{""『"", ""expr"", ""』""}]}}",,Unary,Matchfix,Non,『expr』,,True,
CornerBracket,CornerBracket,,-10,760,-10,1,-10,"{{Row[{""「"", ""expr"", ""」""}]}}",,Unary,Matchfix,Non,「expr」,,True,
FullwidthCurlyBracket,FullwidthCurlyBracket,,-10,760,-10,1,-10,"{{Row[{""｛"", ""expr"", ""｝""}]}}",,Unary,Matchfix,Non,｛expr｝,,True,
BoxGroup,None,,-10,760,-10,1,-10,"{{Row[{""\("", ""expr"", ""\)""}]}}",,Unary,Matchfix,Non,\(expr\),,True,The interpretation of this operator depends on context. It must contain box sublanguage. 
Parentheses,None,,-10,760,-10,1,-10,"{{Row[{""("", ""expr"", "")""}]}}",,Unary,Matchfix,Non,(expr),,True,
NumberBase,None,X,-10,760,-10,1,-10,"{{Row[{""n"", ""^^"", ""digits""}]}}","{{Row[{""n"", ""^^"", ""digits""}]}}",Binary,Infix,Non,n^^digits,,True,Interprets digits as a number literal in base n. The base n must be a positive integer no greater than 36.
NumberMagnitude,None,,-10,760,-10,1,-10,"{{Row[{""number"", ""*^"", ""magnitude""}]}}","{{Row[{""number"", ""*^"", ""magnitude""}]}}",Binary,Infix,Non,number*^magnitude,,True,"Gives mantissa*base^magnitude, where base^^mantissa=number and magnitude is a decimal number expressed without ^^, `, or ``. Only allowed in a number literal, and only after any ` or ``."
NumberPrecisionPostfix,None,,-10,760,-10,1,-10,"{{Row[{""number"", ""`""}]}}","{{Row[{""number"", ""`""}]}}",Unary,Postfix,Left,number`,,True,"Specifies the precision of number to be $MachinePrecision. Any magnitude must come after `."""
NumberPrecision,None,,-10,760,-10,1,,"{{Row[{""number"", ""`"", ""s""}]}}","{{Row[{""number"", ""`"", ""s""}]}}",Binary,Infix,Non,number`s,,True,"Specifies the precision of number, where s is a positive decimal expressed without using ^^ or `. Any magnitude must come after `."""
NumberAccuracy,None,,-10,760,-10,1,,"{{Row[{""number"", ""``"", ""s""}]}}","{{Row[{""number"", ""``"", ""s""}]}}",Binary,Infix,Non,number``s,,True,"Specifies the accuracy (in number of digits to the right of decimal) of number, where s is a positive decimal expressed without using ^^ or `. A magnitude must come after ``."
