"AngleBracket","",-10,"{""〈""}","{}","{""〉""}","{{""〈"", ""expr"", ""〉""}}","Row[{""AngleBracket"", ""["", ""expr"", "","", ""…"", ""]""}]","n-ary","Matchfix","Non","AngleBracket[expr, \[Ellipsis]]"
"Association","",-10,"{""<|"", """"}","{}","{""|>"", """"}","{{""<|"", ""expr"", ""|>""}, {"""", ""expr"", """"}}","Row[{""Association"", ""["", ""expr"", "","", ""…"", ""]""}]","n-ary","Matchfix","Non","Association[expr, \[Ellipsis]]"
"BracketingBar","",-10,"{""""}","{}","{""""}","{{"""", ""expr"", """"}}","Row[{""BracketingBar"", ""["", ""expr"", "","", ""…"", ""]""}]","n-ary","Matchfix","Non","BracketingBar[expr, \[Ellipsis]]"
"Ceiling","",-10,"{""⌈""}","{}","{""⌉""}","{{""⌈"", ""expr"", ""⌉""}}","Row[{""Ceiling"", ""["", ""expr"", ""]""}]","Unary","Matchfix","Non","Ceiling[expr]"
"DoubleBracketingBar","",-10,"{""""}","{}","{""""}","{{"""", ""expr"", """"}}","Row[{""DoubleBracketingBar"", ""["", ""expr"", "","", ""…"", ""]""}]","n-ary","Matchfix","Non","DoubleBracketingBar[expr, \[Ellipsis]]"
"Floor","",-10,"{""⌊""}","{}","{""⌋""}","{{""⌊"", ""expr"", ""⌋""}}","Row[{""Floor"", ""["", ""expr"", ""]""}]","Unary","Matchfix","Non","Floor[expr]"
"List","",-10,"{""{""}","{}","{""}""}","{{""{"", ""expr"", ""}""}}","Row[{""List"", ""["", ""expr"", "","", ""…"", ""]""}]","n-ary","Matchfix","Non","List[expr, \[Ellipsis]]"
"AutoMatch","",-10,"{""""}","{}","{""""}","{{"""", ""expr"", """"}}","Row[{""AutoMatch"", ""["", ""expr"", ""]""}]","Unary","Matchfix","Non","AutoMatch[expr]"
"Skeleton","",-10,"{""""}","{}","{""""}","{{"""", ""n"", """"}}","Row[{""Skeleton"", ""["", ""n"", ""]""}]","Unary","Matchfix","Non","Skeleton[n]"
"CurlyDoubleQuote","",-10,"{""“""}","{}","{""”""}","{{""“"", ""expr"", ""”""}}","Row[{""CurlyDoubleQuote"", ""["", ""expr"", ""]""}]","Unary","Matchfix","Non","CurlyDoubleQuote[expr]"
"CurlyQuote","",-10,"{""‘""}","{}","{""’""}","{{""‘"", ""expr"", ""’""}}","Row[{""CurlyQuote"", ""["", ""expr"", ""]""}]","Unary","Matchfix","Non","CurlyQuote[expr]"
"FullwidthParenthesis","",-10,"{""（""}","{}","{""）""}","{{""（"", ""expr"", ""）""}}","","Unary","Matchfix","Non",""
"DoubleAngleBracket","",-10,"{""《""}","{}","{""》""}","{{""《"", ""expr"", ""》""}}","","Unary","Matchfix","Non",""
"FullwidthAngleBracket","",-10,"{""〈""}","{}","{""〉""}","{{""〈"", ""expr"", ""〉""}}","","Unary","Matchfix","Non",""
"FullwidthSquareBracket","",-10,"{""［""}","{}","{""］""}","{{""［"", ""expr"", ""］""}}","","Unary","Matchfix","Non",""
"TortoiseShellBracket","",-10,"{""〔""}","{}","{""〕""}","{{""〔"", ""expr"", ""〕""}}","","Unary","Matchfix","Non",""
"BlackLenticularBracket","",-10,"{""【""}","{}","{""】""}","{{""【"", ""expr"", ""】""}}","","Unary","Matchfix","Non",""
"WhiteCornerBracket","",-10,"{""『""}","{}","{""』""}","{{""『"", ""expr"", ""』""}}","","Unary","Matchfix","Non",""
"CornerBracket","",-10,"{""「""}","{}","{""」""}","{{""「"", ""expr"", ""」""}}","","Unary","Matchfix","Non",""
"FullwidthCurlyBracket","",-10,"{""｛""}","{}","{""｝""}","{{""｛"", ""expr"", ""｝""}}","","Unary","Matchfix","Non",""
"BoxGroup","",-10,"{""\(""}","{}","{""\)""}","{{""\("", ""expr"", ""\)""}}","","Unary","Matchfix","Non",""
"Parentheses","",-10,"{""(""}","{}","{"")""}","{{""("", ""expr"", "")""}}","","Unary","Matchfix","Non",""
"NumberBase","X",-10,"{}","{""^^""}","{}","{{""n"", ""^^"", ""digits""}}","{{Row[{""n"", ""^^"", ""digits""}]}}","Binary","Infix","Non",""
"NumberMagnitude","",-10,"{}","{""*^""}","{}","{{""number"", ""*^"", ""magnitude""}}","{{Row[{""number"", ""*^"", ""magnitude""}]}}","Binary","Infix","Non",""
"NumberPrecisionPostfix","",-10,"{}","{""`""}","{}","{{""number"", ""`""}}","{{Row[{""number"", ""`""}]}}","Unary","Postfix","Left",""
"NumberPrecision","",-10,"{}","{""`""}","{}","{{""number"", ""`"", ""s""}}","{{Row[{""number"", ""`"", ""s""}]}}","Binary","Infix","Non",""
"NumberAccuracy","",-10,"{}","{""``""}","{}","{{""number"", ""``"", ""s""}}","{{Row[{""number"", ""``"", ""s""}]}}","Binary","Infix","Non",""
"ContextPathSeparator","X",-10,"{}","{""`""}","{}","{{""symb1"", ""`"", ""symb2""}}","{{Row[{""symb1"", ""`"", ""symb2""}]}}","","","Non",""
"MessageName","",1060,"{}","{""::""}","{}","{{""expr"", ""::"", ""string""}}","Row[{""MessageName"", ""["", ""expr"", "","", ""\"""", ""string"", ""\"""", ""]""}]","Binary","Infix","Non","MessageName[expr, ""string""]"
"SlotNumber","X",1050,"{""#""}","{}","{}","{{""#"", ""n""}}","Row[{""Slot"", ""["", ""n"", ""]""}]","Unary","Prefix","Non","Slot[n]"
"SlotSequenceNumber","X",1050,"{""##""}","{}","{}","{{""##"", ""n""}}","Row[{""SlotSequence"", ""["", ""n"", ""]""}]","Unary","Prefix","Non","SlotSequence[n]"
"Slot","X",1040,"{""#""}","{}","{}","{{""#""}}","Row[{""Slot"", ""["", ""1"", ""]""}]","Nullary","None","Non","Slot[1]"
"SlotSequence","X",1040,"{""##""}","{}","{}","{{""##""}}","Row[{""SlotSequence"", ""["", ""1"", ""]""}]","Nullary","None","Non","SlotSequence[1]"
"Out","",1030,"{""%%""}","{}","{""%""}","{{""%%"", ""…"", ""%""}}","Row[{""Out"", ""["", ""-"", ""n"", ""]""}]","Nullary","None","Non","Out[-n]"
"OutNumber","",1020,"{""%""}","{}","{}","{{""%"", ""n""}}","Row[{""Out"", ""["", ""n"", ""]""}]","Unary","Prefix","Non","Out[n]"
"BlankHead","",1010,"{""_""}","{}","{}","{{""_"", ""expr""}}","Row[{""Blank"", ""["", ""expr"", ""]""}]","Unary","Prefix","Non","Blank[expr]"
"BlankSequenceHead","",1010,"{""__""}","{}","{}","{{""__"", ""expr""}}","Row[{""BlankSequence"", ""["", ""expr"", ""]""}]","Unary","Prefix","Non","BlankSequence[expr]"
