"∀","ForAll","FOR ALL","($fa$   $&ForAll;$   $\forall$)","Prefix",350,"None","","0x2200",8704,""
"∃","Exists","THERE EXISTS","($ex$   $&Exists;$   $\exists$)","Prefix",350,"None","","0x2203",8707,""
"∄","NotExists","THERE DOES NOT EXIST","($!ex$   $&NotExists;$   $\nexists$)","Prefix",350,"None","","0x2204",8708,""
"∈","Element","ELEMENT OF","($elem$   $el$   $&Element;$   $\in$)","Infix",360,"None","","0x2208",8712,""
"∉","NotElement","NOT AN ELEMENT OF","($!elem$   $!el$   $&NotElement;$   $\notin$)","Infix",360,"None","","0x2209",8713,""
"∋","ReverseElement","CONTAINS AS MEMBER","($mem$   $&ReverseElement;$   $\ni$   $\owns$)","Infix",360,"None","","0x220B",8715,""
"∌","NotReverseElement","DOES NOT CONTAIN AS MEMBER","($!mem$   $&NotReverseElement;$)","Infix",360,"None","","0x220C",8716,""
"∵","Because","BECAUSE","($&Because;$   $\because$)","Infix",201,"Left","","0x2235",8757,""
"∍","SuchThat","SMALL CONTAINS AS MEMBER","($st$   $&SuchThat;$)","Infix",290,"Right","","0x220D",8717,""
"","VerticalSeparator","","($|$   $&VerticalSeparator;$)","Infix",202,"None","","0xF432",62514,""
"∴","Therefore","THEREFORE","($tf$   $&Therefore;$   $\therefore$)","Infix",201,"Right","","0x2234",8756,""
"","Implies","","($=>$   $&Implies;$)","Infix",310,"Right","","0xF523",62755,""
"⥰","RoundImplies","RIGHT DOUBLE ARROW WITH ROUNDED HEAD","($&RoundImplies;$)","Infix",310,"Right","","0x2970",10608,""
"⧦","Equivalent","GLEICH STARK","($equiv$)","Infix",315,"None","","0x29E6",10726,""
"∼","Tilde","TILDE OPERATOR","($~$   $&Tilde;$   $\sim$)","Infix",390,"None","","0x223C",8764,""
"≁","NotTilde","NOT TILDE","($!~$   $&NotTilde;$   $\nsim$)","Infix",390,"None","","0x2241",8769,""
"≂","EqualTilde","MINUS TILDE","($=~$   $&EqualTilde;$)","Infix",390,"None","","0x2242",8770,""
"≃","TildeEqual","ASYMPTOTICALLY EQUAL TO","($~=$   $&TildeEqual;$   $\simeq$)","Infix",390,"None","","0x2243",8771,""
